CAMPO,POZO,FECHA,LAT,LON,ACEITE DIARIO (bpd),ACEITE MENSUAL (bpm),GAS DIARIO (ft3/d),GAS MENSUAL (ft3/m),AGUA DIARIO (bpd),AGUA MENSUAL (bpm),CORTE DE AGUA (%),RAA,RGA
SITIO GRANDE,SG-1,30/06/1972,17.798887,-93.147397,3.564227763,107.8178898,5900.026929,177000.8079,0,0,0,0,1655.34509
SITIO GRANDE,SG-1,31/07/1972,17.798887,-93.147397,173.0712233,5235.404506,328258.1108,10176001.43,0,0,0,0,1896.664878
SITIO GRANDE,SG-1,31/08/1972,17.798887,-93.147397,369.8611189,11188.29885,834451.6159,25868000.09,0,0,0,0,2256.121482
SITIO GRANDE,SG-1,30/09/1972,17.798887,-93.147397,1323.376024,40032.12473,2488900.009,74667000.28,3.123941063,94.49921716,0.235502536,0.002360585,1880.720192
SITIO GRANDE,SG-1,31/10/1972,17.798887,-93.147397,1013.2681,30651.36003,2209709.7,68501000.69,2.231869891,67.51406419,0.219780399,0.002202645,2180.774959
SITIO GRANDE,SG-1,30/11/1972,17.798887,-93.147397,938.6283463,28393.50748,1955833.324,58674999.71,1.467620237,44.39551216,0.156113874,0.00156358,2083.714317
SITIO GRANDE,SG-1,31/12/1972,17.798887,-93.147397,963.9641098,29159.91432,2289677.445,70980000.81,3.652146727,110.4774385,0.377437512,0.003788675,2375.272505
SITIO GRANDE,SG-1,31/01/1973,17.798887,-93.147397,942.0715078,28497.66311,2387870.994,74024000.82,4.057940109,122.7526883,0.428899039,0.004307465,2534.702487
SITIO GRANDE,SG-1,28/02/1973,17.798887,-93.147397,964.1380168,29165.17501,1711035.683,47908999.12,0,0,0,0,1774.679198
SITIO GRANDE,SG-1,31/03/1973,17.798887,-93.147397,962.9293291,29128.61221,1814354.798,56244998.74,0,0,0,0,1884.203485
SITIO GRANDE,SG-1,30/04/1973,17.798887,-93.147397,950.1596625,28742.32979,1936999.994,58109999.83,0,0,0,0,2038.604743
SITIO GRANDE,SG-1,31/05/1973,17.798887,-93.147397,920.5441299,27846.45993,1749548.336,54235998.43,0,0,0,0,1900.558897
SITIO GRANDE,SG-1,30/06/1973,17.798887,-93.147397,954.3738352,28869.80852,1711366.724,51341001.73,0,0,0,0,1793.182777
SITIO GRANDE,SG-1,31/07/1973,17.798887,-93.147397,834.9418411,25256.99069,1850354.831,57360999.76,0,0,0,0,2216.148167
SITIO GRANDE,SG-1,31/08/1973,17.798887,-93.147397,903.2978734,27324.76067,1804806.501,55949001.52,9.130369964,276.1936914,1.000667179,0.010107817,1998.019207
