Fecha,Presion de Fondo Cerrado
31/01/1972,450.941
29/02/1972,450.94119
31/03/1972,450.93518
30/04/1972,450.91942
31/05/1972,450.86295
30/06/1972,450.84778
31/07/1972,450.80627
31/08/1972,450.76099
30/09/1972,450.73109
31/10/1972,450.68499
30/11/1972,450.54502
31/12/1972,450.33071
31/01/1973,450.08858
28/02/1973,449.82651
31/03/1973,449.33707
30/04/1973,448.82717
31/05/1973,448.10042
30/06/1973,447.04059
31/07/1973,445.6959
31/08/1973,443.67455
30/09/1973,441.80238
31/10/1973,439.68226
30/11/1973,436.03055
31/12/1973,432.14705
31/01/1974,428.35333
28/02/1974,423.88963
31/03/1974,418.6325
30/04/1974,389.9246473
31/05/1974,385.6038379
30/06/1974,381.3110149
31/07/1974,376.3968756
31/08/1974,370.9652212
30/09/1974,365.5098308
31/10/1974,360.1199774
30/11/1974,355.1952233
31/12/1974,350.4788695
31/01/1975,346.2991093
28/02/1975,342.7560319
31/03/1975,339.5317287
30/04/1975,337.2068895
31/05/1975,335.0544868
30/06/1975,333.1497736
31/07/1975,331.2882931
31/08/1975,329.6369359
30/09/1975,328.2403091
31/10/1975,327.09637
30/11/1975,326.0270834
31/12/1975,325.0211884
31/01/1976,324.0793691
29/02/1976,323.1529509
31/03/1976,322.2143742
30/04/1976,321.4397198
31/05/1976,320.8951078
30/06/1976,320.3734952
31/07/1976,319.8797505
31/08/1976,319.3946399
30/09/1976,318.9416441
31/10/1976,318.4832269
30/11/1976,318.0579943
31/12/1976,317.6184739
31/01/1977,317.1019269
28/02/1977,316.6569504
31/03/1977,316.1823358
30/04/1977,315.7109494
31/05/1977,315.2010234
30/06/1977,314.6742374
31/07/1977,314.1437931
31/08/1977,313.6470968
30/09/1977,313.1817939
31/10/1977,312.6794044
30/11/1977,312.2390567
31/12/1977,311.8348219
31/01/1978,311.4665407
28/02/1978,311.1765401
31/03/1978,310.8996594
30/04/1978,310.6744108
31/05/1978,310.4851053
30/06/1978,310.3500564
31/07/1978,310.2454891
31/08/1978,310.1751785
30/09/1978,310.1430555
31/10/1978,310.145619
30/11/1978,310.1906077
31/12/1978,310.2803882
31/01/1979,310.4084381
28/02/1979,310.5582003
31/03/1979,310.7637254
30/04/1979,310.9955827
31/05/1979,311.2832498
