Pozo,Fecha,Salinidad
SITIO_GDE_5,03/06/1975,2000
SITIO_GDE_5,13/06/1975,2000
SITIO_GDE_5,18/06/1975,2000
SITIO_GDE_5,30/07/1975,40000
SITIO_GDE_5,02/09/1975,1000
SITIO_GDE_5,17/09/1975,2000
SITIO_GDE_5,01/10/1975,1000
SITIO_GDE_5,30/12/1975,2000
SITIO_GDE_5,03/02/1976,2000
SITIO_GDE_5,22/03/1976,1000
SITIO_GDE_5,30/04/1976,1000
SITIO_GDE_5,06/05/1976,21000
SITIO_GDE_5,18/05/1976,1000
SITIO_GDE_5,17/01/1977,
SITIO_GDE_5,31/01/1977,69000
SITIO_GDE_5,23/02/1977,
SITIO_GDE_5,03/03/1977,
SITIO_GDE_5,28/03/1977,66000
SITIO_GDE_5,30/03/1977,
SITIO_GDE_5,11/04/1977,
SITIO_GDE_5,19/04/1977,
SITIO_GDE_5,26/04/1977,
SITIO_GDE_5,03/05/1977,2500
SITIO_GDE_5,23/05/1977,2500
SITIO_GDE_5,15/06/1977,2500
SITIO_GDE_5,20/06/1977,2500
SITIO_GDE_5,27/06/1977,2500
SITIO_GDE_5,05/07/1977,2500
SITIO_GDE_5,11/07/1977,2500
SITIO_GDE_5,26/07/1977,2500
SITIO_GDE_5,02/08/1977,2500
SITIO_GDE_5,19/08/1977,2500
SITIO_GDE_5,29/08/1977,2500
SITIO_GDE_5,19/09/1977,2500
SITIO_GDE_5,26/09/1977,2500
SITIO_GDE_5,10/01/1978,2500
SITIO_GDE_5,05/07/1978,282000
SITIO_GDE_5,13/05/1980,30000
SITIO_GDE_5,02/06/1980,49000
SITIO_GDE_5,08/06/1980,14000
SITIO_GDE_5,09/06/1980,11000
SITIO_GDE_5,09/06/1980,10000
SITIO_GDE_5,25/06/1980,62000
SITIO_GDE_5,02/07/1980,60000
SITIO_GDE_5,16/07/1980,60000
SITIO_GDE_5,01/08/1980,60000
SITIO_GDE_5,01/09/1980,90000
SITIO_GDE_5,16/10/1980,81000
SITIO_GDE_5,17/10/1980,81000
SITIO_GDE_5,21/10/1980,90000
SITIO_GDE_5,27/10/1980,100000
SITIO_GDE_5,13/01/1981,114000
SITIO_GDE_5,14/04/1981,129000
SITIO_GDE_5,19/04/1981,124000
SITIO_GDE_5,07/05/1981,124000
SITIO_GDE_5,26/05/1981,121000
