Pozo,Fecha de terminacion,Fecha de cierre,Estado,Zona,UTM ESTE,UTM NORTE,Latitud,Longitud,E.M.R.,TD (TVDSS),TD (MD),NP,WP,GP,Q INYECCION ,ACUMULADO DE AGUA INYECTADA
SITIO GRANDE 1,1972-06-30,,INYECTOR,15 Q,484378.62,1967941.57,17.79996126,-93.14739521,45,4165,4210,0.759,0.002,1.436,,
SITIO GRANDE 100,1974-06-30,1995-09-06,CERRADO / PROG_TAPON,15 Q,487379.68,1964455.61,17.76846989,-93.11905794,26,4181.7,4207.7,9.876,1.196,12.311,,
SITIO GRANDE 1001,1984-10-31,,PRODUCTOR,15 Q,487454.93,1964994.21,17.7733389,-93.11835128,39,3883,3922,13.778,7.327,25.219,,
SITIO GRANDE 101,1973-03-31,2004-04-10,CERRADO / PROG_TAPON,15 Q,488376.4,1964452.4,17.76844636,-93.10965504,36,4170.2,4206.2,13.376,2.98,18.22,,
SITIO GRANDE 1011,1985-07-31,,PRODUCTOR,15 Q,487465.73,1965013.27,17.77351125,-93.11824948,39,3882.2,4110.5,3.816,3.369,6.315,,
SITIO GRANDE 102,1974-08-31,1993-01-28,CERRADO / PROG_TAPON,15 Q,486352.38,1964532.15,17.76915566,-93.12874975,25,3925.8,3950.8,26.697,3.437,35.482,,
SITIO GRANDE 1021,1984-12-31,2007-12-18,CERRADO / PROG_TAPON,15 Q,486342.7,1965154.02,17.77477685,-93.12884515,50,4022,4072,13.007,8.015,24.476,,
SITIO GRANDE 103,1974-05-31,1978-03-30,CERRADO / PROG_TAPON,15 Q,489375.25,1964461.15,17.76853047,-93.10023213,22,4193.1,4215.1,4.74,0.094,6.768,,
SITIO GRANDE 104,1975-06-02,2002-07-30,TAPONADO,15 Q,485382.88,1964468.59,17.76857489,-93.13789544,41,4309,4350,,,,,
SITIO GRANDE 110,1974-08-31,,PRODUCTOR,15 Q,487877.79,1963589.88,17.76064708,-93.11435389,32,4936,4968,4.09,1.56,7.54,,
SITIO GRANDE 111,1974-04-30,2002-01-31,TAPONADO,15 Q,488876.46,1963587.02,17.76062648,-93.104933,27,4241,4268,7.305,0.432,8.587,,
SITIO GRANDE 112,1976-01-09,,INYECTOR,15 Q,486877.31,1963599.1,17.76072468,-93.12379187,25,4276,4301,,,,,
SITIO GRANDE 121,1974-06-24,2002-07-30,TAPONADO,15 Q,489329.63,1962722.81,17.75281681,-93.10065376,24,4212,4236,,,,,
SITIO GRANDE 150,1974-03-13,,CERRADO / PROG_TAPON,15 Q,489810.46,1960157.6,17.72963129,-93.09610567,22,4263,4285,,,,,
SITIO GRANDE 4,1993-07-05,1997-12-01,TAPONADO,15 Q,483856,1967084,17.79220566,-93.15231979,45,4678,4723,,,,,
SITIO GRANDE 5,1973-07-31,1982-10-04,TAPONADO,15 Q,484880.18,1967071.99,17.79210439,-93.14265653,53,3982,4035,3.458194146,0.088170557,5.183336988,,
SITIO GRANDE 51,1973-10-31,1974-11-01,TAPONADO,15 Q,485879.69,1968791.56,17.80765473,-93.13323762,47,4465.7,4512.7,0.238,0.026,0.433,,
SITIO GRANDE 51D,1979-10-04,,CERRADO / PROG_TAPON,15 Q,485900,1968791.56,17.80765484,-93.13304598,45,4460,4505,,,,,
SITIO GRANDE 6,1973-08-31,1977-01-31,TAPONADO,15 Q,485380.73,1967938.28,17.79993845,-93.1379398,48,4063.3,4111.3,1.073,0,1.582,,
SITIO GRANDE 61,1973-11-30,1982-12-01,TAPONADO,15 Q,486379.84,1967937.7,17.79993954,-93.12851271,44,4064.2,4108.2,10.387,0.43,14.864,,
SITIO GRANDE 61D,1986-05-31,2004-07-31,CERRADO,15 Q,485800.4,1967586.75,17.79676362,-93.13397766,52,3814.5,3966.1,1.012,0.258,1.376,,
SITIO GRANDE 63,1974-10-31,1976-05-01,CERRADO / PROG_TAPON,15 Q,487384.24,1967927.8,17.79985608,-93.11903572,50,4250.5,4300.5,0.324,0.007,0.544,,
SITIO GRANDE 6D,1979-12-31,2003-01-31,CERRADO / PROG_TAPON,15 Q,485387.07,1967935.64,17.79991459,-93.13787998,48,4052,4100,4.615,0.399,4.687,,
SITIO GRANDE 7,1973-01-31,1995-05-10,CERRADO / PROG_TAPON,15 Q,484900.42,1968735.92,17.80714524,-93.14247752,40,4180.3,4220.3,1.394,0.548,2.255,,
SITIO GRANDE 70,1974-02-28,2002-11-15,CERRADO / PROG_TAPON,15 Q,485880,1967071.31,17.79210492,-93.13322318,43,3909.8,3952.8,20.96,3.41,33.2,,
SITIO GRANDE 701,1984-11-30,2005-06-24,CERRADO / PROG_TAPON,15 Q,485792.5,1967581.54,17.79671644,-93.13405217,52,3958.1,4010.1,1.406,0.152,1.573,,
SITIO GRANDE 71,1973-10-31,1986-04-30,TAPONADO,15 Q,486889.16,1967051.07,17.79192814,-93.12370159,37,3899.6,3936.6,16.803,1.649,26.412,,
SITIO GRANDE 73,1974-07-31,,INYECTOR,15 Q,487883.92,1967061.86,17.79203142,-93.11431598,55,4245,4300,2.471,0.051,3.515,,
SITIO GRANDE 8,1973-07-31,1973-09-01,TAPONADO,15 Q,484372.62,1969675.45,17.81563423,-93.1474647,49,4951,5000,0.01,0.0001887,0.02,,
SITIO GRANDE 80,1974-03-18,2018-05-01,CERRADO,15 Q,486379.56,1966205.14,17.78427847,-93.12850422,51,3933.4,3984.4,35.61,6.69,68.03,,
SITIO GRANDE 801,1984-06-20,2003-08-31,TAPONADO,15 Q,486399.12,1966809.75,17.78974383,-93.12832356,59,3831,3890,10.676,2.031,17.908,,
SITIO GRANDE 81,1973-11-21,,PRODUCTOR,15 Q,487385.51,1966184.89,17.78410142,-93.11901329,42,4034,4076,17.495,3.381,32.421,,
SITIO GRANDE 811,2008-02-26,,INYECTOR,15 Q,487321.75,1966394.86,17.78599902,-93.11961614,9,2591,2600,,,,,
SITIO GRANDE 82,1976-02-04,1983-09-01,CERRADO / PROG_TAPON,15 Q,485380.78,1966206.34,17.78428288,-93.13792737,40,5577.5,5617.5,4.705,0.658,7.13,,
SITIO GRANDE 83,1974-05-29,1986-09-30,TAPONADO,15 Q,488382.91,1966195.64,17.78420409,-93.10960324,38,4111,4149,6.677,0.911,8.079,,
SITIO GRANDE 84,1981-04-18,,INYECTOR,15 Q,484379.24,1966208.38,17.78429444,-93.14737649,49,4267.8,4316.8,,,,,
SITIO GRANDE 85,1974-12-25,,INYECTOR,15 Q,489380.84,1966193.6,17.78419069,-93.10018815,26,4424,4450,,,,,
SITIO GRANDE 90,1974-06-14,,PRODUCTOR,15 Q,486884.82,1965334.25,17.77640925,-93.12373185,37,3897,3934,54.061,14.523,107.461,,
SITIO GRANDE 901,1985-04-19,2002-09-01,CERRADO / PROG_TAPON,15 Q,487378.14,1966182.53,17.78408,-93.11908281,42,3987.7,4121.7,1.0872,0.0687,1.6867,,
SITIO GRANDE 91,1973-09-26,1993-07-01,CERRADO / PROG_TAPON,15 Q,487882.29,1965318.5,17.77627261,-93.11432136,36,3907,3943,39.851,0.758,59.739,,
SITIO GRANDE 911,1984-10-10,2003-12-31,CERRADO / PROG_TAPON,15 Q,487746.09,1965763.28,17.7802924,-93.1156089,42,3973.8,4015.8,3.427,0.506,4.316,,
SITIO GRANDE 92,1974-08-14,1985-01-31,TAPONADO,15 Q,485878.46,1965340.92,17.77646336,-93.1332261,30,3860,3890,23.561,0.936,35.922,,
SITIO GRANDE 921,1984-12-08,2009-02-28,CERRADO / PROG_TAPON,15 Q,485926.88,1965880.84,17.78134421,-93.1327729,41,3965.8,4006.8,1.324,1.637,3.509,,
SITIO GRANDE 93,1974-07-03,1980-01-01,CERRADO / PROG_TAPON,15 Q,488881.56,1965317.04,17.77626476,-93.10489399,29,4174.8,4203.8,4.424,0.334,6.319,,
SITIO GRANDE 94,1974-08-19,2006-01-01,TAPONADO,15 Q,484880.47,1965341.45,17.77646149,-93.1426414,41,4410.8,4451.8,0.538,0.016,1.068,,
